书名,作者,译者,星数,评价人数,引语,出版社,出版时间,价格
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 , 管延圻 ,8.7,47010,完美主义者的最高形态, 中信出版社 , 2011-10-24 , 68.00元
苏菲的世界,[挪] 乔斯坦·贾德 , 萧宝森 ,8.8,36771,哲学启蒙书, 作家出版社 , 2007-10 , 26.00元
爱的艺术,[美] 艾·弗洛姆 , 李健鸣 ,8.8,28469,谦恭地、勇敢地、真诚地和有纪律地爱他人, 上海译文出版社 , 2008-4 , 15.00元
我也有一个梦想,林达 , ,9.0,12914,在法治国家里，民众怎样运用法律, 生活·读书·新知三联书店 , 2004-08 , 25.00元
九州·缥缈录,江南 , ,8.9,4031,一轴腥风血雨的乱世长卷，中国版《冰与火之歌》, 人民文学出版社 , 2015-10 , 198.00元
万水千山走遍,三毛 , ,8.8,34092,从遥远的撒哈拉到敦煌戈壁, 哈尔滨出版社 , 2003-08 , 13.80
送你一颗子弹,刘瑜 , ,8.6,126225,在这本书里，被“审视”的东西杂七杂八, 上海三联书店 , 2010-1 , 25.00元
浮生六记,（清）沈复 , ,8.8,44005,苟不记之笔墨，未免有辜彼苍之厚, 人民文学出版社 , 1999-1 , 5.70元
离开的，留下的,[意] 埃莱娜·费兰特 , 陈英 ,8.7,33333,探索中年的虚无、困惑、野心和近乎残暴的爱, 人民文学出版社 , 2017-10 , 62.00
孽子,白先勇 , ,9.1,15092,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们, 广西师范大学出版社 , 2010.10 , 46.00元
情书,[日] 岩井俊二 , 穆晓芳 ,8.6,85495,一场同名同姓的误会，两段可贵的爱情, 天津人民出版社 , 2004-7 , 18.00元
目送,龙应台 , ,8.6,183698,不必追, 生活·读书·新知三联书店 , 2009-10 , 39.00元
野火集,龙应台 , ,8.8,29870,中国人，你为什么不生气, 文汇出版社 , 2005-8 , 25.00元
经济学原理（上下）,[美] 曼昆 , 梁小民 ,9.1,15092,经济学家们的世界观, 机械工业出版社 , 2003-8 , 88.00元
昨日的世界,[奥] 斯蒂芬·茨威格 , 舒昌善 ,9.2,9662,一个高贵而残破的昨日镜像, 广西师范大学出版社 , 2004-5-1 , 32.00元
亲爱的安德烈,龙应台 , ,8.6,101653,弭平代沟，跨越文化阻隔, 人民文学出版社 , 2008-12 , 26.00
亮剑,都梁 , ,8.9,19451,面对强大的对手，明知不敌，也要毅然亮剑, 解放军文艺出版社 , 2005-3 , 28.00元
不能承受的生命之轻,米兰·昆德拉 , 许钧 ,8.8,30569, , 上海译文出版社 , 2010-8 , 29.00元
球状闪电,刘慈欣 , ,8.7,52569,量子之外，没有真相, 四川科学技术出版社 , 2005-6 , 22.00元
绿毛水怪,王小波 , ,9.0,14875,我们好象在池塘的水底，从一个月亮走向另一个月亮, 时代文艺出版社 , 2009-1 , 30.00元
倾城之恋,张爱玲 , ,8.7,36423,“一对平凡的夫妻”之间的“一点真心”, 北京十月文艺出版社 , 2006-12 , 29.80元
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 , 陈澄和 ,9.0,15717,当声称能改造智能的科学实验选中心智障碍主角, 广西师范大学出版社 , 2015-4 , 36.00元
古文观止,吴楚材 , ,9.1,13502,收录自先秦至明末的散文二百二十二篇, 中华书局 , 1987-1-1 , 21.00元
面纱,(英)W.萨默塞特·毛姆 , 阮景林 ,8.7,40832,揭去生活的面纱, 重庆 , 2012-05-01 , 32.00元
激荡三十年,吴晓波 , ,8.6,10256,中国企业1978—2008, 中信出版社 , 2008-7-1 , 32.00元
解忧杂货店,[日] 东野圭吾 , 李盈春 ,8.5,636843,现代人内心流失的东西，这家杂货店能帮你找回, 南海出版公司 , 2014-5 , 39.50元
温柔的夜,三毛 , ,9.1,15064,三毛在加纳利群岛的生活, 北京十月文艺出版社 , 2007-5 , 28.00元
银河系漫游指南,[英] 道格拉斯·亚当斯 , 徐百柯 ,8.8,17512,一场穿越银河的冒险, 四川科学技术出版社 , 2005-6 , 16.00元
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 , 谢延光 ,8.7,31415,人类社会的命运, 上海世纪出版集团 , 2006-4-1 , 45.00元
渴望生活,[美] 欧文·斯通 , 常涛 ,9.2,9059,梵高悲惨而成就辉煌的人生, 北京十月文艺出版社 , 2008-4 , 29.80元
我的阿勒泰,李娟 , ,8.8,17671,描写疆北阿勒泰地区生活和风情的原生态散文集, 云南人民出版社 , 2010-7-1 , 22.00元
麦琪的礼物,[美] 欧·亨利 , 张经浩 ,8.6,57282,日常的奇迹, 上海社会科学院出版社 , 2003-7 , 25.00元
半生缘,张爱玲 , ,8.6,69181,世钧，我们回不去了, 北京十月文艺出版社 , 2006-12 , 28.00元
四世同堂,老舍 , ,9.3,14709,北平沦陷时代广大平民的悲惨遭遇, 北京十月文艺出版社 , 2008-07 , 36.00元
阿勒泰的角落,李娟 , ,9.1,11351,白雪和阳光，青草和白桦林, 万卷出版公司 , 2010-6 , 25.00元
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 , 宫英海 ,8.7,35613,阿加莎·克里斯蒂代表作, 人民文学出版社 , 2006-5 , 22.00元
万物有灵且美,[英] 吉米·哈利 , 种衍伦 ,8.8,18139,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事, 中国城市出版社 , 2010-1 , 28.80
霸王别姬,李碧华 , ,9.1,12550,人间，只是抹去了脂粉的脸, 人民文学出版社 , 1999-1 , 10.20元
天朝的崩溃,茅海建 , ,9.1,10489,鸦片战争再研究, 生活·读书·新知三联书店 , 2005-7 , 32.00元
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯 , 王永年 ,8.9,15766,一个谜语，谜底正是时间, 上海译文出版社 , 2015-7 , 23.00
总统是靠不住的,林达 , ,8.8,17316,美国政治法律制度的基本原理和操作细节, 生活·读书·新知三联书店 , 2004-08 , 21.80
民主的细节,刘瑜 , ,8.6,68843,公民养成手册, 上海三联书店 , 2009-6 , 25.00
德米安,[德] 赫尔曼·黑塞 , 丁君君 ,9.0,14893,少年辛克莱寻找通向自身之路的艰辛历程, 上海人民出版社 , 2009-3 , 25.00元
最好的我们,八月长安 , ,8.7,55341,耿耿余淮, 湖南文艺出版社 , 2013-8-5 , 55
我不知道该说什么，关于死亡还是爱情,S.A.阿列克谢耶维奇 , ,9.0,13860,真实记录切尔诺贝利核灾难事件,铁葫芦图书 , 2014-6-15 , 34.80元
受戒,汪曾祺 , ,9.3,12189,江南乡镇民间生活，健康淳朴的人性, 漓江出版社 , 1987-10 , 3.95元
荆棘鸟,[澳] 考琳·麦卡洛 , 曾胡 ,8.6,44640,澳洲乱世情, 译林出版社 , 1998-7 , 28.00元
故事,[美] 罗伯特·麦基 , 周铁东 ,9.2,10008,材质、结构、风格和银幕剧作的原理, 天津人民出版社 , 2014-9-1 , 68.00元
社会心理学,[美] 戴维·迈尔斯 , 张智勇 ,9.0,17327,人们是如何思索、影响他人并与他人建立联系的, 人民邮电出版社 , 2006-1 , 68.00元
罗生门,[日]芥川龙之介 , 林少华 ,8.7,46534,人生，远比地狱更像地狱, 上海译文出版社 , 2008-7 , 12.00元
棋王,阿城 , ,8.8,21109,我从未真正见过火，也未见过毁灭，更不知新生, 作家出版社 , 1999-10 , 13.00
全球通史,(美) 斯塔夫里阿诺斯 , 吴象婴 ,9.1,10151,从史前史到21世纪, 北京大学出版社 , 2012-2-1 , 168.00元
倚天屠龙记(共四册),金庸 , ,8.6,48836,不识张郎是张郎, 三联书店 , 1999-04 , 47.00
此生未完成,于娟 , ,8.9,16088,一个母亲、妻子、女儿的生命日记, 湖南科技出版社 , 2011-5 , 26.00元
上学记,何兆武 口述 , ,8.9,12119,20世纪中国知识分子的心灵史, 生活·读书·新知三联书店 , 2006-8 , 19.80元
顾城的诗,顾城 , ,8.8,18405,火焰是我们诗歌唯一的读者, 人民文学出版社 , 1998-12 , 20.00
失明症漫记,(葡)若泽·萨拉马戈 , 范维信 ,9.1,11725,失明症迅速蔓延，整个城市陷入一场空前的灾难, 南海出版公司 , 2014-2 , 29.50
一句顶一万句,刘震云 , ,8.7,36700,一句胜过千年, 长江文艺出版社 , 2009-3 , 29.80
罪与罚,[俄] 陀思妥耶夫斯基 , 岳麟 ,9.1,11747,描绘人内心的全部深度, 上海译文出版社 , 2006-8 , 23.00元
正见,宗萨蒋扬钦哲仁波切 , 姚仁喜 ,8.8,14610,佛陀的证悟, 中国友谊出版公司 , 2007-1 , 25.00元
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略 , 丁文林 ,8.5,119114,你自己就是最大的宝藏, 南海出版公司 , 2009-3-1 , 25.00元
雨季不再来,三毛 , ,8.7,39841,三毛少女时代的成长感受, 北京十月文艺出版社 , 2007-7 , 28.00元
雷雨,曹禺 , ,8.6,59279,一幕人生大悲剧，在一个雷雨夜爆发, 人民文学出版社 , 1999-05 , 9.20
理想国,[古希腊] 柏拉图 , 郭斌和 ,8.7,22363,人类历史上最早的乌托邦, 商务印书馆 , 1986-8 , 28.00元
人间草木,汪曾祺 , ,9.0,15042,我就是要这样香，香得痛痛快快, 江苏文艺出版社 , 2005-01 , 20.00元
水浒传（全二册）,[明] 施耐庵 , ,8.6,57059,替天行道, 人民文学出版社 , 1997-1 , 50.60元
草房子,曹文轩 , ,9.0,19511,男孩桑桑刻骨铭心、终身难忘的六年小学生活, 江苏少年儿童出版社 , 2009-6 , 18.00元
从一到无穷大,[美] G. 伽莫夫 , 暴永宁 译 ,9.1,9521,科学中的事实和臆测, 科学出版社 , 2002-11 , 29.00元
一千零一夜,纳训 , ,8.7,43913,阿拉伯地区的古代民间传说, 人民文学出版社 , 2003-01 , 22.0
青铜时代,王小波 , ,8.7,19776,唐人传奇贯注现代情趣, 花城出版社 , 1997-5 , 29.00元
黑客与画家,[美] Paul Graham , 阮一峰 ,8.7,18424,硅谷创业之父Paul Graham文集, 人民邮电出版社 , 2011-4 , 49.00元
孙子兵法,孙武 , 郭化若 ,9.4,8520,我国最古老最杰出的一部兵书, 上海古籍出版社 , 2006-7 , 20.00元
茶馆,老舍 , ,9.0,13653,清末、民初、抗战胜利以后三个历史时期的北京生活风貌, 人民文学出版社 , 2002-1 , 9.80元
认识电影,[美] 路易斯·贾内梯 , 焦雄屏 ,8.9,13623,电影入门经典之作, 世界图书出版公司 , 2007-11 , 68.00元
我的天才女友,[意] 埃莱娜·费兰特 , 陈英 ,8.5,56939,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争, 人民文学出版社 , 2017-1 , 42.00元
巨流河,齐邦媛 , ,8.7,25127,两代人从巨流河到哑口海的故事, 生活·读书·新知三联书店 , 2010-10 , 39.00元
圣经,中国基督教协会 , ,9.0,15773,上帝说，要有光,中国基督教协会 , 中国基督教协会 , 1996
火星救援,[美] 安迪·威尔 , 陈灼 ,8.9,12306,跟火星来一场不是你死就是我活的过家家游戏, 译林出版社 , 2015-10 , 38.00
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 , 魏然 ,8.7,22513,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯, 南海出版公司 , 2013-6 , 25.00元
繁花,金宇澄 , ,8.7,19185,海上繁花，请静观静读, 上海文艺出版社 , 2013-3 , 48.00元
中国哲学简史,冯友兰 , 赵复三 ,8.9,15045,中国哲学入门书, 新世界出版社 , 2004-1 , 38.00元
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫 , 叶李华 ,9.5,4832,阿西莫夫经典科幻小说, 江苏凤凰文艺出版社 , 2015-10-1 , 328.00元
众病之王,[美] 悉达多·穆克吉 , 李虎 ,9.1,8064,癌症传, 中信出版社 , 2013-2-4 , 42.00元
简爱（英文全本）,[英] 夏洛蒂·勃朗特 , ,8.5,185741,灰姑娘在十九世纪, 世界图书出版公司 , 2003-11 , 18.00元
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德 , 陈以侃 ,9.1,9515,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟, 上海文艺出版社 , 2015-6-1 , CNY 20.00
金锁记,张爱玲 , ,8.6,48596,一个小商人家庭出身的女子曹七巧的心灵变迁历程, 哈尔滨出版社 , 2005-6 , 13.5元
